,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
333,AUDUSD,20,0.0001,75,27,921,76,177,0.3,2.777777778,767.5,3.6,20,0.0001,75,27,486,36,82,0.31,2.777777778,418.5
316,AUDUSD,20,0.0001,78,28,918,71,165,0.3,2.785714286,767.1857143,3.8,20,0.0001,78,28,496,34,77,0.31,2.785714286,428.3314286
225,AUDUSD,20,0.0001,73,25,892,79,195,0.29,2.92,755.3456,3.42,20,0.0001,73,25,572,39,91,0.3,2.92,501.072
304,AUDUSD,20,0.0001,72,25,901,83,203,0.29,2.88,752.5152,3.13,20,0.0001,72,25,505,40,95,0.3,2.88,436.32
45,AUDUSD,20,0.0001,61,27,978,105,201,0.34,2.259259259,751.2488889,2.92,20,0.0001,61,27,871,55,92,0.37,2.259259259,728.0914815
188,AUDUSD,20,0.0001,71,25,910,85,205,0.29,2.84,749.476,2.84,20,0.0001,71,25,607,42,95,0.31,2.84,534.4028
275,AUDUSD,20,0.0001,77,28,896,72,166,0.3,2.75,739.2,3.5,20,0.0001,77,28,539,35,77,0.31,2.75,459.4975
68,AUDUSD,20,0.0001,65,25,915,96,213,0.31,2.6,737.49,2.9,20,0.0001,65,25,775,50,99,0.34,2.6,685.1
41,AUDUSD,20,0.0001,59,27,955,110,205,0.35,2.185185185,730.3981481,3.1,20,0.0001,59,27,884,58,94,0.38,2.185185185,734.0474074
476,AUDUSD,20,0.0001,79,27,859,70,173,0.29,2.925925926,728.8774074,3.74,20,0.0001,79,27,395,32,79,0.29,2.925925926,335.1648148
40,AUDUSD,20,0.0001,62,27,932,103,202,0.34,2.296296296,727.6503704,3.26,20,0.0001,62,27,872,55,94,0.37,2.296296296,740.877037
147,AUDUSD,20,0.0001,78,33,894,69,136,0.34,2.363636364,718.4509091,4.74,20,0.0001,78,33,672,34,60,0.36,2.363636364,571.8109091
62,AUDUSD,20,0.0001,57,21,879,109,254,0.3,2.714285714,715.7571429,2.4,20,0.0001,57,21,771,57,118,0.33,2.714285714,690.5957143
258,AUDUSD,20,0.0001,74,26,858,78,189,0.29,2.846153846,708.18,3,20,0.0001,74,26,550,38,87,0.3,2.846153846,469.6153846
540,AUDUSD,20,0.0001,79,25,830,70,188,0.27,3.16,708.156,3.08,20,0.0001,79,25,357,33,90,0.27,3.16,304.5924
52,AUDUSD,20,0.0001,56,26,936,117,216,0.35,2.153846154,705.6,2.7,20,0.0001,56,26,872,62,100,0.38,2.153846154,713.6984615
255,AUDUSD,20,0.0001,76,31,867,73,151,0.33,2.451612903,701.4309677,4.31,20,0.0001,76,31,566,36,70,0.34,2.451612903,471.7883871
170,AUDUSD,20,0.0001,75,26,838,76,187,0.29,2.884615385,701.0192308,3.29,20,0.0001,75,26,614,38,86,0.31,2.884615385,549.0576923
525,AUDUSD,20,0.0001,73,27,861,78,179,0.3,2.703703704,698.3666667,3,20,0.0001,73,27,387,36,83,0.3,2.703703704,313.9
129,AUDUSD,20,0.0001,56,25,915,115,221,0.34,2.24,696.864,2.54,20,0.0001,56,25,735,60,105,0.36,2.24,592.704
105,AUDUSD,20,0.0001,77,33,869,70,137,0.34,2.333333333,689.4066667,4.4,20,0.0001,77,33,715,35,60,0.37,2.333333333,617.2833333
249,AUDUSD,20,0.0001,76,28,844,73,168,0.3,2.714285714,687.2571429,3.2,20,0.0001,76,28,552,36,78,0.32,2.714285714,479.4514286
269,AUDUSD,20,0.0001,54,25,909,121,225,0.35,2.16,687.204,2.65,20,0.0001,54,25,594,61,108,0.36,2.16,461.8944
174,AUDUSD,20,0.0001,54,27,918,121,208,0.37,2,679.32,2.97,20,0.0001,54,27,702,61,96,0.39,2,547.56
141,AUDUSD,20,0.0001,75,33,879,72,137,0.34,2.272727273,679.2272727,3.72,20,0.0001,75,33,687,36,61,0.37,2.272727273,577.7045455
459,AUDUSD,20,0.0001,74,25,798,77,196,0.28,2.96,661.3824,2.72,20,0.0001,74,25,413,37,93,0.28,2.96,342.2944
345,AUDUSD,20,0.0001,75,25,775,75,194,0.28,3,651,3,20,0.0001,75,25,475,37,92,0.29,3,413.25
86,AUDUSD,20,0.0001,57,25,834,112,222,0.34,2.28,646.5168,2.88,20,0.0001,57,25,788,59,103,0.36,2.28,646.7904
178,AUDUSD,20,0.0001,56,28,868,114,197,0.37,2,642.32,3.08,20,0.0001,56,28,700,60,95,0.39,2,546
239,AUDUSD,20,0.0001,55,27,874,118,208,0.36,2.037037037,640.9333333,2.52,20,0.0001,55,27,627,60,99,0.38,2.037037037,485.3444444
98,AUDUSD,20,0.0001,59,25,822,108,222,0.33,2.36,640.1736,2.72,20,0.0001,59,25,763,57,104,0.35,2.36,630.238
84,AUDUSD,20,0.0001,58,27,849,111,207,0.35,2.148148148,638.3222222,2.75,20,0.0001,58,27,799,58,95,0.38,2.148148148,652.2207407
518,AUDUSD,20,0.0001,79,26,746,70,184,0.28,3.038461538,634.6738462,3.4,20,0.0001,79,26,371,33,86,0.28,3.038461538,315.6353846
99,AUDUSD,20,0.0001,60,25,825,105,219,0.32,2.4,633.6,2.2,20,0.0001,60,25,750,55,102,0.35,2.4,630
109,AUDUSD,20,0.0001,76,33,809,71,139,0.34,2.303030303,633.4715152,4.06,20,0.0001,76,33,723,36,61,0.37,2.303030303,616.0836364
208,AUDUSD,20,0.0001,73,34,822,76,139,0.35,2.147058824,617.7088235,3.45,20,0.0001,73,34,632,38,63,0.38,2.147058824,515.6376471
486,AUDUSD,20,0.0001,78,32,788,70,146,0.32,2.4375,614.64,3.2,20,0.0001,78,32,412,34,70,0.33,2.4375,331.4025
206,AUDUSD,20,0.0001,56,31,872,113,176,0.39,1.806451613,614.3380645,2.93,20,0.0001,56,31,700,59,84,0.41,1.806451613,518.4516129
630,AUDUSD,20,0.0001,78,31,763,69,149,0.32,2.516129032,614.3380645,3.88,20,0.0001,78,31,326,32,70,0.31,2.516129032,254.28
311,AUDUSD,20,0.0001,73,26,754,78,190,0.29,2.807692308,613.93,2.71,20,0.0001,73,26,512,38,87,0.3,2.807692308,431.2615385
798,AUDUSD,20,0.0001,78,26,728,71,185,0.28,3,611.52,3.12,20,0.0001,78,26,208,32,88,0.27,3,168.48
157,AUDUSD,20,0.0001,80,33,759,66,137,0.33,2.424242424,607.2,4.29,20,0.0001,80,33,660,33,60,0.35,2.424242424,560
428,AUDUSD,20,0.0001,77,32,763,71,147,0.33,2.40625,605.8696875,3.97,20,0.0001,77,32,455,35,70,0.33,2.40625,361.2984375
165,AUDUSD,20,0.0001,53,26,825,123,219,0.36,2.038461538,605.4230769,2.44,20,0.0001,53,26,713,63,101,0.38,2.038461538,552.3007692
211,AUDUSD,20,0.0001,75,34,776,72,136,0.35,2.205882353,599.1176471,4.15,20,0.0001,75,34,626,36,61,0.37,2.205882353,510.9264706
251,AUDUSD,20,0.0001,78,34,758,69,136,0.34,2.294117647,591.24,4.08,20,0.0001,78,34,578,34,61,0.36,2.294117647,477.36
171,AUDUSD,20,0.0001,77,34,766,70,136,0.34,2.264705882,589.82,3.74,20,0.0001,77,34,655,35,60,0.37,2.264705882,548.8514706
152,AUDUSD,20,0.0001,63,27,765,97,198,0.33,2.333333333,589.05,2.7,20,0.0001,63,27,693,50,91,0.35,2.333333333,565.95
559,AUDUSD,20,0.0001,77,31,740,70,150,0.32,2.483870968,588.1806452,3.56,20,0.0001,77,31,371,33,70,0.32,2.483870968,294.8851613
317,AUDUSD,20,0.0001,53,25,791,122,227,0.35,2.12,586.922,2.3,20,0.0001,53,25,561,62,109,0.36,2.12,428.1552
293,AUDUSD,20,0.0001,56,24,760,113,232,0.33,2.333333333,585.2,2.4,20,0.0001,56,24,560,58,112,0.34,2.333333333,444.2666667
498,AUDUSD,20,0.0001,54,24,762,119,236,0.34,2.25,582.93,2.52,20,0.0001,54,24,426,59,115,0.34,2.25,325.89
457,AUDUSD,20,0.0001,68,27,746,88,194,0.31,2.518518519,582.4325926,2.45,20,0.0001,68,27,426,42,90,0.32,2.518518519,343.3244444
219,AUDUSD,20,0.0001,61,24,737,101,226,0.31,2.541666667,580.6945833,2.35,20,0.0001,61,24,604,52,107,0.33,2.541666667,506.605
386,AUDUSD,20,0.0001,79,17,619,64,261,0.2,4.647058824,575.3058824,2.2,20,0.0001,79,17,398,30,116,0.21,4.647058824,388.4011765
409,AUDUSD,20,0.0001,76,32,704,72,149,0.33,2.375,551.76,3.64,20,0.0001,76,32,464,36,71,0.34,2.375,374.68
466,AUDUSD,20,0.0001,72,32,720,78,153,0.34,2.25,550.8,3.36,20,0.0001,72,32,432,38,72,0.35,2.25,340.2
554,AUDUSD,20,0.0001,72,26,684,81,198,0.29,2.769230769,549.3046154,2.42,20,0.0001,72,26,370,38,91,0.29,2.769230769,297.1384615
369,AUDUSD,20,0.0001,71,26,693,83,200,0.29,2.730769231,548.8026923,2.13,20,0.0001,71,26,474,40,91,0.31,2.730769231,401.2592308
164,AUDUSD,20,0.0001,57,31,783,110,177,0.38,1.838709677,547.0896774,2.44,20,0.0001,57,31,733,58,83,0.41,1.838709677,552.5874194
339,AUDUSD,20,0.0001,73,33,723,75,144,0.34,2.212121212,543.7836364,3.04,20,0.0001,73,33,523,37,66,0.36,2.212121212,416.4981818
248,AUDUSD,20,0.0001,74,34,710,73,138,0.35,2.176470588,540.8529412,3.8,20,0.0001,74,34,596,37,63,0.37,2.176470588,479.9552941
585,AUDUSD,20,0.0001,80,31,674,65,146,0.31,2.580645161,539.2,3.41,20,0.0001,80,31,354,30,66,0.31,2.580645161,283.2
575,AUDUSD,20,0.0001,76,74,946,66,55,0.55,1.027027027,534.3621622,8.5,20,0.0001,76,74,508,32,26,0.55,1.027027027,286.9513514
527,AUDUSD,20,0.0001,75,31,688,72,152,0.32,2.419354839,532.6451613,2.92,20,0.0001,75,31,393,35,72,0.33,2.419354839,313.766129
743,AUDUSD,20,0.0001,71,27,675,81,188,0.3,2.62962963,532.5,2.4,20,0.0001,71,27,251,37,88,0.3,2.62962963,198.0111111
495,AUDUSD,20,0.0001,80,17,586,63,262,0.19,4.705882353,523.9529412,1.43,20,0.0001,80,17,348,29,116,0.2,4.705882353,327.5294118
272,AUDUSD,20,0.0001,64,27,690,96,202,0.32,2.37037037,523.3777778,2.12,20,0.0001,64,27,571,49,95,0.34,2.37037037,460.1837037
398,AUDUSD,20,0.0001,74,33,683,73,143,0.34,2.242424242,520.7357576,3.38,20,0.0001,74,33,486,36,66,0.35,2.242424242,381.4363636
531,AUDUSD,20,0.0001,77,74,926,62,52,0.54,1.040540541,520.3118919,7.54,20,0.0001,77,74,534,30,24,0.56,1.040540541,311.1632432
513,AUDUSD,20,0.0001,63,63,945,82,67,0.55,1,519.75,6.3,20,0.0001,63,63,567,41,32,0.56,1,317.52
543,AUDUSD,20,0.0001,79,31,657,66,147,0.31,2.548387097,519.03,3.1,20,0.0001,79,31,372,31,67,0.32,2.548387097,303.36
517,AUDUSD,20,0.0001,72,31,677,77,157,0.33,2.322580645,518.8877419,2.99,20,0.0001,72,31,401,37,73,0.34,2.322580645,316.6606452
400,AUDUSD,20,0.0001,55,21,658,112,262,0.3,2.619047619,517,1.8,20,0.0001,55,21,468,57,127,0.31,2.619047619,379.9714286
231,AUDUSD,20,0.0001,57,24,678,110,233,0.32,2.375,515.28,1.92,20,0.0001,57,24,609,57,110,0.34,2.375,491.7675
534,AUDUSD,20,0.0001,75,28,640,72,170,0.3,2.678571429,514.2857143,2.9,20,0.0001,75,28,385,35,80,0.3,2.678571429,309.375
367,AUDUSD,20,0.0001,68,26,644,89,208,0.3,2.615384615,505.2923077,2.2,20,0.0001,68,26,496,44,96,0.31,2.615384615,402.1415385
744,AUDUSD,20,0.0001,61,61,915,88,73,0.55,1,503.25,6.1,20,0.0001,61,61,366,44,38,0.54,1,197.64
289,AUDUSD,20,0.0001,58,24,648,108,234,0.32,2.416666667,501.12,2.24,20,0.0001,58,24,560,56,112,0.33,2.416666667,446.6
346,AUDUSD,20,0.0001,60,24,636,103,231,0.31,2.5,492.9,2.04,20,0.0001,60,24,516,53,111,0.32,2.5,412.8
708,AUDUSD,20,0.0001,79,79,869,55,44,0.56,1,486.64,9.48,20,0.0001,79,79,395,26,21,0.55,1,217.25
553,AUDUSD,20,0.0001,53,24,648,120,238,0.34,2.208333333,486.54,2.18,20,0.0001,53,24,396,60,116,0.34,2.208333333,297.33
370,AUDUSD,20,0.0001,55,25,650,115,227,0.34,2.2,486.2,2.2,20,0.0001,55,25,520,59,109,0.35,2.2,400.4
302,AUDUSD,20,0.0001,56,23,640,110,240,0.31,2.434782609,483.0608696,1.49,20,0.0001,56,23,547,57,115,0.33,2.434782609,439.5026087
638,AUDUSD,20,0.0001,74,31,628,73,154,0.32,2.387096774,479.7109677,2.6,20,0.0001,74,31,327,35,73,0.32,2.387096774,249.7858065
697,AUDUSD,20,0.0001,70,27,610,82,190,0.3,2.592592593,474.4444444,2.1,20,0.0001,70,27,284,38,88,0.3,2.592592593,220.8888889
639,AUDUSD,20,0.0001,69,27,612,84,192,0.3,2.555555556,469.2,1.8,20,0.0001,69,27,315,39,88,0.31,2.555555556,249.55
373,AUDUSD,20,0.0001,53,27,662,121,213,0.36,1.962962963,467.8133333,1.8,20,0.0001,53,27,533,61,100,0.38,1.962962963,397.5785185
475,AUDUSD,20,0.0001,71,32,617,79,156,0.34,2.21875,465.449375,3.02,20,0.0001,71,32,433,39,73,0.35,2.21875,336.2515625
637,AUDUSD,20,0.0001,54,21,603,115,267,0.3,2.571428571,465.1714286,1.5,20,0.0001,54,21,327,57,131,0.3,2.571428571,252.2571429
628,AUDUSD,20,0.0001,74,28,586,73,172,0.3,2.642857143,464.6142857,2.6,20,0.0001,74,28,322,35,81,0.3,2.642857143,255.3
706,AUDUSD,20,0.0001,80,28,580,65,165,0.28,2.857142857,464,2.24,20,0.0001,80,28,272,30,76,0.28,2.857142857,217.6
344,AUDUSD,20,0.0001,56,22,604,109,250,0.3,2.545454545,461.2363636,1.4,20,0.0001,56,22,508,57,122,0.32,2.545454545,413.7890909
759,AUDUSD,20,0.0001,63,62,827,83,71,0.54,1.016129032,453.7829032,5.5,20,0.0001,63,62,351,41,36,0.53,1.016129032,189.0304839
582,AUDUSD,20,0.0001,73,31,597,74,155,0.32,2.35483871,449.8683871,2.28,20,0.0001,73,31,365,36,73,0.33,2.35483871,283.6403226
663,AUDUSD,20,0.0001,79,28,566,66,166,0.28,2.821428571,447.14,1.96,20,0.0001,79,28,293,31,77,0.29,2.821428571,239.7367857
494,AUDUSD,20,0.0001,61,60,809,89,77,0.54,1.016666667,444.141,5.34,20,0.0001,61,60,586,46,37,0.55,1.016666667,327.6716667
521,AUDUSD,20,0.0001,71,31,578,78,160,0.33,2.290322581,436.856129,2.66,20,0.0001,71,31,404,38,74,0.34,2.290322581,314.5987097
675,AUDUSD,20,0.0001,62,62,806,86,73,0.54,1,435.24,4.96,20,0.0001,62,62,434,44,37,0.54,1,234.36
546,AUDUSD,20,0.0001,70,32,570,79,155,0.34,2.1875,423.9375,2.68,20,0.0001,70,32,394,39,73,0.35,2.1875,301.65625
439,AUDUSD,20,0.0001,59,24,555,105,235,0.31,2.458333333,422.95625,1.73,20,0.0001,59,24,450,54,114,0.32,2.458333333,354
673,AUDUSD,20,0.0001,72,28,544,76,176,0.3,2.571428571,419.6571429,2,20,0.0001,72,28,296,36,82,0.31,2.571428571,235.9542857
642,AUDUSD,20,0.0001,75,32,557,71,149,0.32,2.34375,417.75,2.24,20,0.0001,75,32,321,35,72,0.33,2.34375,248.2734375
889,AUDUSD,20,0.0001,70,63,735,69,65,0.51,1.111111111,416.5,4.83,20,0.0001,70,63,217,31,31,0.5,1.111111111,120.5555556
635,AUDUSD,20,0.0001,79,32,542,66,146,0.31,2.46875,414.799375,2.41,20,0.0001,79,32,320,32,69,0.32,2.46875,252.8
826,AUDUSD,20,0.0001,62,61,757,86,75,0.53,1.016393443,407.7872131,4.19,20,0.0001,62,61,287,43,39,0.52,1.016393443,151.6865574
906,AUDUSD,20,0.0001,76,65,693,63,63,0.5,1.169230769,405.1384615,5.5,20,0.0001,76,65,200,30,32,0.48,1.169230769,112.2461538
699,AUDUSD,20,0.0001,73,32,538,74,152,0.33,2.28125,405.013125,2.65,20,0.0001,73,32,292,36,73,0.33,2.28125,219.82125
420,AUDUSD,20,0.0001,57,34,603,109,165,0.4,1.676470588,404.3647059,2.4,20,0.0001,57,34,517,55,77,0.42,1.676470588,364.0288235
865,AUDUSD,20,0.0001,77,65,679,62,63,0.5,1.184615385,402.1769231,6,20,0.0001,77,65,230,30,32,0.48,1.184615385,130.7815385
514,AUDUSD,20,0.0001,54,22,524,114,256,0.31,2.454545455,398.7163636,1.56,20,0.0001,54,22,404,58,124,0.32,2.454545455,317.3236364
905,AUDUSD,20,0.0001,78,65,676,62,64,0.49,1.2,397.488,5.07,20,0.0001,78,65,195,30,33,0.48,1.2,112.32
500,AUDUSD,20,0.0001,54,23,529,115,247,0.32,2.347826087,397.44,1.64,20,0.0001,54,23,418,58,118,0.33,2.347826087,323.8591304
589,AUDUSD,20,0.0001,70,31,531,78,159,0.33,2.258064516,395.6806452,2.33,20,0.0001,70,31,366,38,74,0.34,2.258064516,280.9935484
501,AUDUSD,20,0.0001,55,28,558,114,204,0.36,1.964285714,394.5857143,1.88,20,0.0001,55,28,445,59,100,0.37,1.964285714,323.4196429
469,AUDUSD,20,0.0001,69,31,536,81,163,0.33,2.225806452,393.7006452,2,20,0.0001,69,31,435,40,75,0.35,2.225806452,338.8790323
721,AUDUSD,20,0.0001,72,34,546,77,147,0.34,2.117647059,393.12,2.04,20,0.0001,72,34,284,37,70,0.35,2.117647059,210.4941176
537,AUDUSD,20,0.0001,69,26,509,85,206,0.29,2.653846154,391.7342308,1.55,20,0.0001,69,26,385,41,94,0.3,2.653846154,306.5192308
506,AUDUSD,20,0.0001,69,32,533,81,158,0.34,2.15625,390.755625,2.34,20,0.0001,69,32,424,40,73,0.35,2.15625,319.9875
496,AUDUSD,20,0.0001,52,26,546,122,223,0.35,2,382.2,1.3,20,0.0001,52,26,442,61,105,0.37,2,327.08
844,AUDUSD,20,0.0001,78,74,684,60,54,0.53,1.054054054,382.1156757,6.56,20,0.0001,78,74,260,28,26,0.52,1.054054054,142.5081081
832,AUDUSD,20,0.0001,73,71,700,66,58,0.53,1.028169014,381.4507042,5.32,20,0.0001,73,71,273,30,27,0.53,1.028169014,148.7657746
691,AUDUSD,20,0.0001,73,28,485,73,173,0.3,2.607142857,379.3392857,2.3,20,0.0001,73,28,287,35,81,0.3,2.607142857,224.475
672,AUDUSD,20,0.0001,53,21,499,116,269,0.3,2.523809524,377.8142857,1.2,20,0.0001,53,21,302,58,132,0.31,2.523809524,236.2790476
610,AUDUSD,20,0.0001,70,26,480,83,205,0.29,2.692307692,374.7692308,1.84,20,0.0001,70,26,330,40,95,0.3,2.692307692,266.5384615
493,AUDUSD,20,0.0001,55,31,549,112,181,0.38,1.774193548,370.1322581,1.68,20,0.0001,55,31,462,58,88,0.4,1.774193548,327.8709677
612,AUDUSD,20,0.0001,55,24,503,113,238,0.32,2.291666667,368.8666667,1.28,20,0.0001,55,24,351,57,116,0.33,2.291666667,265.44375
900,AUDUSD,20,0.0001,76,69,655,64,61,0.51,1.101449275,367.9391304,4.95,20,0.0001,76,69,210,30,30,0.5,1.101449275,115.6521739
761,AUDUSD,20,0.0001,74,32,496,72,151,0.32,2.3125,367.04,1.92,20,0.0001,74,32,254,35,73,0.32,2.3125,187.96
715,AUDUSD,20,0.0001,52,25,517,121,231,0.34,2.08,365.6224,1.18,20,0.0001,52,25,295,60,113,0.35,2.08,214.76
563,AUDUSD,20,0.0001,71,34,509,79,150,0.34,2.088235294,361.39,1.7,20,0.0001,71,34,389,39,70,0.36,2.088235294,292.4364706
577,AUDUSD,20,0.0001,70,34,500,80,150,0.35,2.058823529,360.2941176,2.4,20,0.0001,70,34,386,40,71,0.36,2.058823529,286.0941176
910,AUDUSD,20,0.0001,77,66,616,62,63,0.5,1.166666667,359.3333333,5.5,20,0.0001,77,66,198,30,32,0.48,1.166666667,110.88
737,AUDUSD,20,0.0001,56,34,516,110,166,0.4,1.647058824,339.9529412,2,20,0.0001,56,34,304,54,80,0.4,1.647058824,200.2823529
625,AUDUSD,20,0.0001,51,26,474,124,225,0.36,1.961538462,334.7169231,1.72,20,0.0001,51,26,355,61,106,0.37,1.961538462,257.6480769
711,AUDUSD,20,0.0001,71,28,427,77,180,0.3,2.535714286,324.825,1.7,20,0.0001,71,28,275,37,84,0.31,2.535714286,216.1696429
764,AUDUSD,20,0.0001,52,21,435,117,269,0.3,2.476190476,323.1428571,0.9,20,0.0001,52,21,244,58,132,0.31,2.476190476,187.2990476
838,AUDUSD,20,0.0001,51,25,448,123,233,0.35,2.04,319.872,1.6,20,0.0001,51,25,210,60,114,0.34,2.04,145.656
685,AUDUSD,20,0.0001,64,63,579,75,67,0.53,1.015873016,311.7409524,4.31,20,0.0001,64,63,415,37,31,0.54,1.015873016,227.6571429
856,AUDUSD,20,0.0001,52,24,432,120,242,0.33,2.166666667,308.88,1.08,20,0.0001,52,24,188,59,120,0.33,2.166666667,134.42
646,AUDUSD,20,0.0001,64,64,576,76,67,0.53,1,305.28,3.84,20,0.0001,64,64,448,38,31,0.55,1,246.4
805,AUDUSD,20,0.0001,51,21,399,119,270,0.31,2.428571429,300.39,1.32,20,0.0001,51,21,216,59,133,0.31,2.428571429,162.6171429
686,AUDUSD,20,0.0001,60,60,540,88,79,0.53,1,286.2,3.6,20,0.0001,60,60,420,45,38,0.54,1,226.8
502,AUDUSD,20,0.0001,60,59,502,89,82,0.52,1.016949153,265.4644068,2.88,20,0.0001,60,59,578,47,38,0.55,1.016949153,323.2881356
777,AUDUSD,20,0.0001,52,27,381,120,217,0.36,1.925925926,264.16,1.44,20,0.0001,52,27,260,59,104,0.36,1.925925926,180.2666667
784,AUDUSD,20,0.0001,65,63,461,73,68,0.52,1.031746032,247.3301587,3.56,20,0.0001,65,63,324,36,32,0.53,1.031746032,177.1714286
748,AUDUSD,20,0.0001,65,64,458,74,68,0.52,1.015625,241.88125,3.08,20,0.0001,65,64,357,37,32,0.54,1.015625,195.7921875
835,AUDUSD,20,0.0001,41,25,351,161,250,0.39,1.64,224.4996,0.74,20,0.0001,41,25,223,78,119,0.4,1.64,146.288
880,AUDUSD,20,0.0001,66,63,402,71,68,0.51,1.047619048,214.7828571,2.79,20,0.0001,66,63,228,34,32,0.52,1.047619048,124.2057143
920,AUDUSD,20,0.0002,61,25,1898,118,212,0.36,2.44,1667.2032,5.96,20,0.0002,61,25,1063,58,99,0.37,2.44,959.6764
922,AUDUSD,20,0.0002,62,25,1743,114,213,0.35,2.48,1512.924,5.45,20,0.0002,62,25,1009,57,101,0.36,2.48,900.8352
918,AUDUSD,20,0.0002,65,25,1670,108,214,0.34,2.6,1476.28,5.6,20,0.0002,65,25,1100,55,99,0.36,2.6,1029.6
919,AUDUSD,20,0.0002,67,25,1651,103,210,0.33,2.68,1460.1444,5.36,20,0.0002,67,25,1034,52,98,0.35,2.68,969.892
917,AUDUSD,20,0.0002,64,25,1651,109,213,0.34,2.56,1437.0304,5.26,20,0.0002,64,25,1159,56,97,0.37,2.56,1097.8048
921,AUDUSD,20,0.0002,66,25,1539,104,213,0.33,2.64,1340.7768,5.03,20,0.0002,66,25,998,53,100,0.35,2.64,922.152
956,AUDUSD,20,0.0002,60,25,1520,117,220,0.35,2.4,1276.8,4.75,20,0.0002,60,25,735,56,105,0.35,2.4,617.4
960,AUDUSD,20,0.0002,61,24,1506,114,227,0.33,2.541666667,1263.1575,4.05,20,0.0002,61,24,715,55,110,0.33,2.541666667,599.70625
925,AUDUSD,20,0.0002,63,25,1467,109,216,0.34,2.52,1256.9256,4.92,20,0.0002,63,25,915,55,102,0.35,2.52,807.03
