,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
7,AUDUSD,10,0.0001,67,14,671,89,378,0.19,4.785714286,610.1307143,1.39
27,AUDUSD,10,0.0001,77,49,896,74,98,0.43,1.571428571,605.44,5.18
20,AUDUSD,10,0.0001,78,36,798,73,136,0.35,2.166666667,605.15,3.9
89,AUDUSD,10,0.0001,78,32,772,78,166,0.32,2.4375,602.16,3.2
241,AUDUSD,10,0.0001,78,28,742,77,188,0.29,2.785714286,599.43,2.74
37,AUDUSD,10,0.0001,74,36,808,80,142,0.36,2.055555556,597.92,3.6
121,AUDUSD,10,0.0001,79,28,722,74,183,0.29,2.821428571,590.7507143,3.03
196,AUDUSD,10,0.0001,68,16,656,92,350,0.21,4.25,585.48,1.64
433,AUDUSD,10,0.0001,79,57,895,64,73,0.47,1.385964912,583.0061404,6.92
172,AUDUSD,10,0.0001,66,62,1014,83,72,0.54,1.064516129,582.8864516,7.12
81,AUDUSD,10,0.0001,62,62,1054,92,75,0.55,1,579.7,6.2
43,AUDUSD,10,0.0001,70,58,960,80,80,0.5,1.206896552,579.3103448,6
450,AUDUSD,10,0.0001,69,62,987,79,72,0.52,1.112903226,571.1864516,6.12
63,AUDUSD,10,0.0001,76,36,772,76,139,0.35,2.111111111,570.4222222,3.2
159,AUDUSD,10,0.0001,67,16,647,93,349,0.21,4.1875,568.955625,1.43
114,AUDUSD,10,0.0001,57,27,762,119,223,0.35,2.111111111,563.0333333,2.4
414,AUDUSD,10,0.0001,68,62,964,78,70,0.53,1.096774194,560.363871,6.9
260,AUDUSD,10,0.0001,80,17,621,73,307,0.19,4.705882353,555.2470588,1.43
132,AUDUSD,10,0.0001,70,61,946,78,74,0.51,1.147540984,553.642623,5.81
303,AUDUSD,10,0.0001,79,58,859,63,71,0.47,1.362068966,549.9081034,6.39
45,AUDUSD,10,0.0001,78,49,814,72,98,0.42,1.591836735,544.2171429,4.34
451,AUDUSD,10,0.0001,80,60,840,60,66,0.48,1.333333333,537.6,7.2
48,AUDUSD,10,0.0001,70,60,900,78,76,0.51,1.166666667,535.5,6.3
300,AUDUSD,10,0.0001,53,27,756,135,237,0.36,1.962962963,534.24,1.8
50,AUDUSD,10,0.0001,80,24,640,74,220,0.25,3.333333333,533.3333333,2
201,AUDUSD,10,0.0001,71,61,892,77,75,0.51,1.163934426,529.4970492,6.32
76,AUDUSD,10,0.0001,79,33,685,73,154,0.32,2.393939394,524.7515152,2.84
151,AUDUSD,10,0.0001,77,32,675,79,169,0.32,2.40625,519.75,2.88
199,AUDUSD,10,0.0001,78,30,654,78,181,0.3,2.6,510.12,2.4
105,AUDUSD,10,0.0001,75,36,699,77,141,0.35,2.083333333,509.6875,2.85
249,AUDUSD,10,0.0001,74,27,641,82,201,0.29,2.740740741,509.4762963,2.29
209,AUDUSD,10,0.0001,66,16,588,94,351,0.21,4.125,509.355,1.22
184,AUDUSD,10,0.0001,78,29,650,76,182,0.29,2.689655172,507,2.03
88,AUDUSD,10,0.0001,79,29,634,73,177,0.29,2.724137931,500.86,2.32
122,AUDUSD,10,0.0001,55,14,579,121,434,0.22,3.928571429,500.4214286,1.18
91,AUDUSD,10,0.0001,65,15,565,95,374,0.2,4.333333333,489.6666667,1
100,AUDUSD,10,0.0001,79,32,630,74,163,0.31,2.46875,482.146875,2.41
224,AUDUSD,10,0.0001,80,59,750,61,70,0.47,1.355932203,477.9661017,6.33
85,AUDUSD,10,0.0001,72,33,642,85,166,0.34,2.181818182,476.2472727,2.7
112,AUDUSD,10,0.0001,55,29,672,124,212,0.37,1.896551724,471.5586207,2.08
86,AUDUSD,10,0.0001,80,15,515,70,339,0.17,5.333333333,466.9333333,1.15
165,AUDUSD,10,0.0001,75,33,621,80,163,0.33,2.272727273,465.75,2.64
340,AUDUSD,10,0.0001,55,28,658,126,224,0.36,1.964285714,465.3,1.88
128,AUDUSD,10,0.0001,80,34,614,71,149,0.32,2.352941176,462.3058824,2.48
429,AUDUSD,10,0.0001,59,26,609,113,233,0.33,2.269230769,456.0473077,2.05
382,AUDUSD,10,0.0001,75,31,593,79,172,0.31,2.419354839,444.75,1.86
330,AUDUSD,10,0.0001,70,15,500,83,354,0.19,4.666666667,443.3333333,1.15
415,AUDUSD,10,0.0001,69,63,771,76,71,0.52,1.095238095,439.1028571,5.64
223,AUDUSD,10,0.0001,62,26,572,104,226,0.32,2.384615385,436.48,2.16
233,AUDUSD,10,0.0001,78,34,570,74,153,0.33,2.294117647,431.5235294,2.96
160,AUDUSD,10,0.0001,74,33,582,81,164,0.33,2.242424242,430.68,2.31
120,AUDUSD,10,0.0001,77,55,682,71,87,0.45,1.4,429.66,4.4
68,AUDUSD,10,0.0001,54,29,619,128,217,0.37,1.862068966,426.4696552,1.71
272,AUDUSD,10,0.0001,79,55,673,67,84,0.44,1.436363636,425.336,3.96
142,AUDUSD,10,0.0001,78,51,642,71,96,0.43,1.529411765,422.2094118,4.47
141,AUDUSD,10,0.0001,78,50,638,71,98,0.42,1.56,418.0176,3.76
179,AUDUSD,10,0.0001,58,26,566,116,237,0.33,2.230769231,416.6630769,1.72
170,AUDUSD,10,0.0001,77,50,644,72,98,0.42,1.54,416.5392,3.34
49,AUDUSD,10,0.0001,70,14,462,80,367,0.18,5,415.8,1.12
302,AUDUSD,10,0.0001,77,34,548,76,156,0.33,2.264705882,409.5494118,2.63
341,AUDUSD,10,0.0001,59,27,565,113,226,0.33,2.185185185,407.4277778,1.38
301,AUDUSD,10,0.0001,57,26,559,117,235,0.33,2.192307692,404.415,1.39
344,AUDUSD,10,0.0001,70,57,685,79,85,0.48,1.228070175,403.7894737,3.96
305,AUDUSD,10,0.0001,75,34,553,79,158,0.33,2.205882353,402.5514706,1.97
74,AUDUSD,10,0.0001,70,59,692,79,82,0.49,1.186440678,402.2983051,4.21
135,AUDUSD,10,0.0001,58,27,545,116,229,0.34,2.148148148,398.0518519,1.9
70,AUDUSD,10,0.0001,66,14,442,89,388,0.19,4.714285714,395.9057143,1.2
335,AUDUSD,10,0.0001,60,26,534,109,231,0.32,2.307692308,394.3384615,1.52
445,AUDUSD,10,0.0001,74,31,526,80,174,0.31,2.387096774,389.24,1.55
293,AUDUSD,10,0.0001,54,28,556,128,227,0.36,1.928571429,386.0228571,1.52
232,AUDUSD,10,0.0001,78,52,598,69,92,0.43,1.5,385.71,3.9
69,AUDUSD,10,0.0001,80,18,432,72,296,0.2,4.444444444,384,1.6
261,AUDUSD,10,0.0001,41,15,499,179,456,0.28,2.733333333,381.9013333,0.68
292,AUDUSD,10,0.0001,76,33,516,78,164,0.32,2.303030303,380.2763636,1.88
72,AUDUSD,10,0.0001,62,27,516,105,222,0.32,2.296296296,379.1644444,1.48
316,AUDUSD,10,0.0001,61,26,503,105,227,0.32,2.346153846,377.6369231,1.84
136,AUDUSD,10,0.0001,77,35,518,74,148,0.33,2.2,376.068,1.96
158,AUDUSD,10,0.0001,78,55,597,69,87,0.44,1.418181818,372.528,3.52
127,AUDUSD,10,0.0001,41,14,468,176,482,0.27,2.928571429,370.0542857,0.85
299,AUDUSD,10,0.0001,74,34,514,80,159,0.33,2.176470588,369.1729412,1.64
235,AUDUSD,10,0.0001,77,24,457,77,228,0.25,3.208333333,366.5520833,1.25
368,AUDUSD,10,0.0001,77,58,597,65,76,0.46,1.327586207,364.5817241,4.1
456,AUDUSD,10,0.0001,78,58,584,64,76,0.46,1.344827586,361.2744828,4.56
250,AUDUSD,10,0.0001,60,27,492,109,224,0.33,2.222222222,360.8,1.71
389,AUDUSD,10,0.0001,75,30,480,80,184,0.3,2.5,360,1.5
71,AUDUSD,10,0.0001,65,14,408,92,398,0.19,4.642857143,359.9142857,1.01
408,AUDUSD,10,0.0001,42,15,453,174,457,0.28,2.8,355.152,0.96
348,AUDUSD,10,0.0001,77,29,458,76,186,0.29,2.655172414,352.66,1.74
315,AUDUSD,10,0.0001,80,16,384,71,331,0.18,5,345.6,1.28
139,AUDUSD,10,0.0001,53,29,510,130,220,0.37,1.827586207,344.8655172,1.34
216,AUDUSD,10,0.0001,79,24,415,73,223,0.25,3.291666667,341.5104167,1.75
192,AUDUSD,10,0.0001,74,49,528,76,104,0.42,1.510204082,334.9028571,2.66
194,AUDUSD,10,0.0001,74,50,524,76,102,0.43,1.48,333.4736,3.32
289,AUDUSD,10,0.0001,73,52,535,75,95,0.44,1.403846154,330.4653846,3
169,AUDUSD,10,0.0001,77,51,520,71,97,0.42,1.509803922,329.7411765,2.76
200,AUDUSD,10,0.0001,42,14,420,171,483,0.26,3,327.6,0.56
220,AUDUSD,10,0.0001,71,58,556,74,81,0.48,1.224137931,326.697931,3.92
197,AUDUSD,10,0.0001,64,15,380,95,380,0.2,4.266666667,324.2666667,0.8
282,AUDUSD,10,0.0001,75,58,542,66,76,0.46,1.293103448,322.3965517,3.18
205,AUDUSD,10,0.0001,77,15,369,72,345,0.17,5.133333333,322.014,0.64
186,AUDUSD,10,0.0001,71,14,372,78,369,0.17,5.071428571,320.7171429,0.45
137,AUDUSD,10,0.0001,56,29,460,118,212,0.36,1.931034483,319.7793103,1.6
386,AUDUSD,10,0.0001,74,48,488,76,107,0.42,1.541666667,315.98,3.24
304,AUDUSD,10,0.0001,74,58,524,69,79,0.47,1.275862069,314.2193103,4.04
202,AUDUSD,10,0.0001,56,49,560,115,120,0.49,1.142857143,313.6,2.45
334,AUDUSD,10,0.0001,73,36,438,78,146,0.35,2.027777778,310.8583333,2.15
446,AUDUSD,10,0.0001,74,30,414,81,186,0.3,2.466666667,306.36,1.2
442,AUDUSD,10,0.0001,72,14,348,76,366,0.17,5.142857143,304.2514286,0.62
285,AUDUSD,10,0.0001,77,52,477,69,93,0.43,1.480769231,303.7205769,3.47
237,AUDUSD,10,0.0001,74,52,484,74,96,0.44,1.423076923,303.0584615,3.44
317,AUDUSD,10,0.0001,79,34,407,71,153,0.32,2.323529412,302.6164706,2.16
65,AUDUSD,10,0.0001,41,13,383,172,513,0.25,3.153846154,301.9807692,0.5
275,AUDUSD,10,0.0001,76,49,474,72,102,0.41,1.551020408,301.4253061,2.25
276,AUDUSD,10,0.0001,76,50,472,72,100,0.42,1.52,301.3248,2.92
327,AUDUSD,10,0.0001,75,49,454,74,104,0.42,1.530612245,291.8571429,3.08
417,AUDUSD,10,0.0001,78,15,330,70,342,0.17,5.2,291.72,0.81
161,AUDUSD,10,0.0001,43,14,361,165,481,0.26,3.071428571,288.2842857,0.82
329,AUDUSD,10,0.0001,75,50,450,74,102,0.42,1.5,283.5,2.5
366,AUDUSD,10,0.0001,76,24,356,77,229,0.25,3.166666667,281.8333333,1
181,AUDUSD,10,0.0001,68,58,500,79,84,0.48,1.172413793,281.3793103,2.48
350,AUDUSD,10,0.0001,40,25,435,189,285,0.4,1.6,278.4,1
437,AUDUSD,10,0.0001,77,48,427,71,105,0.4,1.604166667,273.9916667,2
372,AUDUSD,10,0.0001,78,48,420,70,105,0.4,1.625,273,2.4
234,AUDUSD,10,0.0001,57,49,488,110,118,0.48,1.163265306,272.4832653,1.88
373,AUDUSD,10,0.0001,75,56,451,65,79,0.45,1.339285714,271.8080357,2.95
309,AUDUSD,10,0.0001,52,29,409,130,219,0.37,1.793103448,271.3503448,0.97
313,AUDUSD,10,0.0001,76,15,313,73,349,0.17,5.066666667,269.5973333,0.47
352,AUDUSD,10,0.0001,73,58,455,69,79,0.47,1.25862069,269.1560345,3.57
399,AUDUSD,10,0.0001,75,15,315,74,349,0.17,5,267.75,0.3
394,AUDUSD,10,0.0001,41,25,412,182,282,0.39,1.64,263.5152,0.74
264,AUDUSD,10,0.0001,74,51,422,76,102,0.43,1.450980392,263.294902,2.75
449,AUDUSD,10,0.0001,73,56,428,68,81,0.46,1.303571429,256.6471429,3.34
392,AUDUSD,10,0.0001,74,56,422,67,81,0.45,1.321428571,250.9392857,2.5
246,AUDUSD,10,0.0001,56,48,448,116,126,0.48,1.166666667,250.88,1.92
385,AUDUSD,10,0.0001,56,14,294,112,427,0.21,4,246.96,0.7
288,AUDUSD,10,0.0001,77,18,285,75,305,0.2,4.277777778,243.8333333,1
454,AUDUSD,10,0.0001,73,48,389,77,109,0.41,1.520833333,242.5577083,1.61
363,AUDUSD,10,0.0001,71,59,428,75,83,0.47,1.203389831,242.0738983,2.1
211,AUDUSD,10,0.0001,68,30,324,93,200,0.32,2.266666667,235.008,1.36
455,AUDUSD,10,0.0001,74,55,378,72,90,0.44,1.345454545,223.776,1.76
203,AUDUSD,10,0.0001,54,30,336,124,212,0.37,1.8,223.776,1.08
381,AUDUSD,10,0.0001,74,35,312,78,156,0.33,2.114285714,217.6868571,0.97
353,AUDUSD,10,0.0001,41,16,290,178,438,0.29,2.5625,215.50625,0.53
311,AUDUSD,10,0.0001,78,18,258,73,302,0.19,4.333333333,212.42,0.24
176,AUDUSD,10,0.0001,56,50,372,112,118,0.49,1.12,204.1536,1.94
432,AUDUSD,10,0.0001,75,55,335,69,88,0.44,1.363636364,201,2.2
187,AUDUSD,10,0.0001,42,13,248,165,514,0.24,3.230769231,192.2953846,0.2
404,AUDUSD,10,0.0001,54,48,324,118,126,0.48,1.125,174.96,0.96
185,AUDUSD,10,0.0001,74,14,204,72,366,0.16,5.285714286,172.5257143,0.08
349,AUDUSD,10,0.0001,55,49,298,115,123,0.48,1.12244898,160.555102,0.92
338,AUDUSD,10,0.0001,79,18,191,71,301,0.19,4.388888889,159.2727778,0.43
428,AUDUSD,10,0.0001,54,49,291,117,123,0.49,1.102040816,157.14,1.47
418,AUDUSD,10,0.0001,55,48,277,115,126,0.48,1.145833333,152.35,1.44
365,AUDUSD,10,0.0001,53,30,228,126,215,0.37,1.766666667,149.036,0.71
308,AUDUSD,10,0.0001,37,14,177,197,508,0.28,2.642857143,130.98,0.28
369,AUDUSD,10,0.0001,31,14,149,241,523,0.32,2.214285714,105.5771429,0.4
423,AUDUSD,10,0.0001,76,18,120,75,310,0.19,4.222222222,96.26666667,-0.14
469,AUDUSD,10,0.0002,67,17,1202,107,351,0.23,3.941176471,1089.577647,2.32
483,AUDUSD,10,0.0002,68,17,1071,104,353,0.23,4,985.32,2.55
475,AUDUSD,10,0.0002,68,16,912,104,385,0.21,4.25,813.96,1.64
466,AUDUSD,10,0.0002,67,16,891,105,384,0.21,4.1875,783.523125,1.43
602,AUDUSD,10,0.0002,65,12,832,104,494,0.17,5.416666667,766.1333333,1.09
566,AUDUSD,10,0.0002,62,39,1103,109,145,0.43,1.58974359,753.9994872,4.43
531,AUDUSD,10,0.0002,66,17,810,105,360,0.23,3.882352941,723.2823529,2.09
512,AUDUSD,10,0.0002,68,38,912,95,146,0.39,1.789473684,636.48,3.34
504,AUDUSD,10,0.0002,75,38,830,82,140,0.37,1.973684211,606.1184211,3.81
700,AUDUSD,10,0.0002,61,38,812,108,152,0.42,1.605263158,547.4589474,3.58
603,AUDUSD,10,0.0002,76,38,722,80,141,0.36,2,519.84,3.04
556,AUDUSD,10,0.0002,78,66,870,67,66,0.5,1.181818182,514.0909091,6
813,AUDUSD,10,0.0002,60,38,742,108,151,0.42,1.578947368,492.0631579,3.16
726,AUDUSD,10,0.0002,64,12,520,103,506,0.17,5.333333333,471.4666667,0.92
698,AUDUSD,10,0.0002,78,38,648,77,141,0.35,2.052631579,465.5368421,2.6
579,AUDUSD,10,0.0002,79,66,766,64,65,0.5,1.196969697,458.4393939,6.5
587,AUDUSD,10,0.0002,68,15,522,99,414,0.19,4.533333333,449.616,0.77
961,AUDUSD,10,0.0002,62,38,672,104,152,0.41,1.631578947,449.5326316,3
808,AUDUSD,10,0.0002,76,69,773,71,67,0.51,1.101449275,434.2243478,4.95
664,AUDUSD,10,0.0002,77,38,609,77,140,0.35,2.026315789,431.9092105,2.25
555,AUDUSD,10,0.0002,72,38,614,84,143,0.37,1.894736842,430.4463158,2.7
541,AUDUSD,10,0.0002,67,15,505,100,413,0.19,4.466666667,428.5766667,0.58
607,AUDUSD,10,0.0002,79,67,701,64,65,0.5,1.179104478,413.2761194,6
745,AUDUSD,10,0.0002,49,39,681,150,171,0.47,1.256410256,402.1392308,2.36
1001,AUDUSD,10,0.0002,76,39,548,77,136,0.36,1.948717949,384.4430769,2.4
724,AUDUSD,10,0.0002,67,38,569,93,149,0.38,1.763157895,381.23,1.9
905,AUDUSD,10,0.0002,76,66,634,70,71,0.5,1.151515152,365.030303,5
766,AUDUSD,10,0.0002,63,12,408,104,512,0.17,5.25,364.14,0.75
867,AUDUSD,10,0.0002,48,39,627,152,171,0.47,1.230769231,362.6953846,1.89
709,AUDUSD,10,0.0002,77,66,627,69,71,0.49,1.166666667,358.435,4.07
685,AUDUSD,10,0.0002,80,69,613,62,63,0.5,1.15942029,355.3623188,5.5
995,AUDUSD,10,0.0002,73,56,591,71,82,0.46,1.303571429,354.3889286,3.34
978,AUDUSD,10,0.0002,49,38,586,150,178,0.46,1.289473684,347.5905263,2.02
988,AUDUSD,10,0.0002,49,40,590,150,169,0.47,1.225,339.6925,1.83
684,AUDUSD,10,0.0002,73,55,544,73,87,0.46,1.327272727,332.1367273,3.88
1005,AUDUSD,10,0.0002,48,38,570,152,177,0.46,1.263157895,331.2,1.56
741,AUDUSD,10,0.0002,69,38,486,88,147,0.37,1.815789474,326.5152632,1.59
925,AUDUSD,10,0.0002,72,56,552,73,84,0.46,1.285714286,326.4685714,2.88
1072,AUDUSD,10,0.0002,72,57,540,74,84,0.47,1.263157895,320.5894737,3.63
725,AUDUSD,10,0.0002,61,37,483,108,165,0.4,1.648648649,318.5189189,2.2
983,AUDUSD,10,0.0002,79,38,447,73,140,0.34,2.078947368,315.9584211,1.78
840,AUDUSD,10,0.0002,60,37,449,108,163,0.4,1.621621622,291.2432432,1.8
751,AUDUSD,10,0.0002,78,69,507,64,65,0.5,1.130434783,286.5652174,4.5
873,AUDUSD,10,0.0002,80,66,472,62,68,0.48,1.212121212,274.6181818,4.08
838,AUDUSD,10,0.0002,62,56,490,91,92,0.5,1.107142857,271.25,3
796,AUDUSD,10,0.0002,79,69,482,62,64,0.49,1.144927536,270.4089855,3.52
1019,AUDUSD,10,0.0002,75,69,489,70,69,0.5,1.086956522,265.7608696,3
976,AUDUSD,10,0.0002,62,37,380,104,164,0.39,1.675675676,248.3351351,1.61
911,AUDUSD,10,0.0002,80,67,404,62,68,0.48,1.194029851,231.5462687,3.56
896,AUDUSD,10,0.0002,80,70,400,61,64,0.49,1.142857143,224,3.5
1025,AUDUSD,10,0.0002,66,38,334,92,151,0.38,1.736842105,220.44,1.52
1079,AUDUSD,10,0.0002,75,70,410,68,67,0.5,1.071428571,219.6428571,2.5
942,AUDUSD,10,0.0002,62,57,351,93,95,0.49,1.087719298,187.0768421,1.31
886,AUDUSD,10,0.0002,50,39,320,139,170,0.45,1.282051282,184.6153846,1.05
986,AUDUSD,10,0.0002,74,39,203,76,139,0.35,1.897435897,134.8128205,0.55
1123,AUDUSD,10,0.0002,72,39,150,79,142,0.36,1.846153846,99.69230769,0.96
1171,AUDUSD,10,0.0003,79,26,1492,88,210,0.3,3.038461538,1360.015385,5.5
1166,AUDUSD,10,0.0003,76,25,1492,92,220,0.29,3.04,1315.3472,4.29
1154,AUDUSD,10,0.0003,71,34,1614,96,153,0.39,2.088235294,1314.460588,6.95
1174,AUDUSD,10,0.0003,66,34,1686,109,162,0.4,1.941176471,1309.129412,6
1195,AUDUSD,10,0.0003,75,25,1450,94,224,0.3,3,1305,5
1136,AUDUSD,10,0.0003,72,34,1600,94,152,0.38,2.117647059,1287.529412,6.28
1280,AUDUSD,10,0.0003,76,26,1456,91,210,0.3,2.923076923,1276.8,4.6
1396,AUDUSD,10,0.0003,56,34,1720,140,180,0.44,1.647058824,1246.494118,5.6
1162,AUDUSD,10,0.0003,68,34,1564,104,162,0.39,2,1219.92,5.78
1357,AUDUSD,10,0.0003,59,34,1629,125,169,0.43,1.735294118,1215.521471,5.99
1163,AUDUSD,10,0.0003,69,34,1529,101,160,0.39,2.029411765,1210.158529,6.17
1386,AUDUSD,10,0.0003,60,34,1626,124,171,0.42,1.764705882,1205.152941,5.48
1317,AUDUSD,10,0.0003,57,34,1654,134,176,0.43,1.676470588,1192.339412,5.13
1486,AUDUSD,10,0.0003,55,34,1643,143,183,0.44,1.617647059,1169.429412,5.16
1473,AUDUSD,10,0.0003,58,34,1576,128,172,0.43,1.705882353,1156.042353,5.56
1205,AUDUSD,10,0.0003,62,34,1524,120,174,0.41,1.823529412,1139.414118,5.36
1339,AUDUSD,10,0.0003,61,34,1492,122,175,0.41,1.794117647,1097.497647,4.95
1183,AUDUSD,10,0.0003,73,34,1358,88,149,0.37,2.147058824,1078.811176,5.59
1300,AUDUSD,10,0.0003,77,26,1239,87,210,0.29,2.961538462,1064.110385,3.87
1367,AUDUSD,10,0.0003,78,26,1222,87,214,0.29,3,1063.14,4.16
1554,AUDUSD,10,0.0003,75,26,1209,91,216,0.3,2.884615385,1046.25,4.3
1248,AUDUSD,10,0.0003,49,13,1131,169,550,0.24,3.769230769,1023.12,1.88
1260,AUDUSD,10,0.0003,75,34,1255,87,155,0.36,2.205882353,996.6176471,5.24
1272,AUDUSD,10,0.0003,63,34,1334,114,172,0.4,1.852941176,988.7294118,4.8
1587,AUDUSD,10,0.0003,56,36,1444,137,173,0.44,1.555555556,988.3377778,4.48
1626,AUDUSD,10,0.0003,56,33,1379,136,189,0.42,1.696969697,982.8509091,4.38
1433,AUDUSD,10,0.0003,57,36,1404,132,170,0.44,1.583333333,978.12,4.92
1232,AUDUSD,10,0.0003,65,34,1308,108,168,0.39,1.911764706,975.2294118,4.61
1134,AUDUSD,10,0.0003,68,17,1037,109,375,0.23,4,954.04,2.55
1217,AUDUSD,10,0.0003,77,34,1189,83,153,0.35,2.264705882,942.4573529,4.85
1643,AUDUSD,10,0.0003,55,35,1345,139,180,0.44,1.571428571,929.9714286,4.6
1712,AUDUSD,10,0.0003,56,37,1363,136,169,0.45,1.513513514,928.3135135,4.85
1461,AUDUSD,10,0.0003,49,31,1358,165,217,0.43,1.580645161,923.0019355,3.4
1718,AUDUSD,10,0.0003,55,36,1364,140,176,0.44,1.527777778,916.9111111,4.04
1223,AUDUSD,10,0.0003,67,34,1223,103,167,0.38,1.970588235,915.8111765,4.38
1288,AUDUSD,10,0.0003,74,34,1168,87,155,0.36,2.176470588,915.1623529,4.88
1642,AUDUSD,10,0.0003,56,35,1330,135,178,0.43,1.6,915.04,4.13
1256,AUDUSD,10,0.0003,78,34,1126,82,155,0.35,2.294117647,904.1117647,5.2
1531,AUDUSD,10,0.0003,57,33,1272,130,186,0.41,1.727272727,900.8072727,3.9
1239,AUDUSD,10,0.0003,64,34,1226,110,171,0.39,1.882352941,900.0282353,4.22
1466,AUDUSD,10,0.0003,57,35,1285,130,175,0.43,1.628571429,899.8671429,4.56
1282,AUDUSD,10,0.0003,70,34,1176,95,161,0.37,2.058823529,895.8352941,4.48
1135,AUDUSD,10,0.0003,65,17,1012,116,384,0.23,3.823529412,889.9647059,1.86
1227,AUDUSD,10,0.0003,71,33,1115,91,162,0.36,2.151515152,863.6181818,4.44
1408,AUDUSD,10,0.0003,60,31,1126,119,194,0.38,1.935483871,828.1548387,3.58
1168,AUDUSD,10,0.0003,65,15,900,114,434,0.21,4.333333333,819,1.8
1615,AUDUSD,10,0.0003,54,34,1194,143,192,0.43,1.588235294,815.4317647,3.84
1391,AUDUSD,10,0.0003,49,34,1236,164,200,0.45,1.441176471,801.5823529,3.35
1553,AUDUSD,10,0.0003,49,33,1222,163,205,0.44,1.484848485,798.3733333,3.08
1341,AUDUSD,10,0.0003,76,34,1020,85,160,0.35,2.235294118,798,4.5
1156,AUDUSD,10,0.0003,68,15,878,106,422,0.2,4.533333333,796.0533333,1.6
1663,AUDUSD,10,0.0003,57,37,1174,129,167,0.44,1.540540541,795.7816216,4.36
