Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
AUDUSD,5,0.0002,59,22,916,130,307,0.3,2.681818182,736.9636364,2.3
AUDUSD,5,0.0002,62,24,920,124,282,0.31,2.583333333,736.7666667,2.66
AUDUSD,5,0.0002,61,36,1034,122,178,0.41,1.694444444,718.3427778,3.77
AUDUSD,5,0.0002,63,26,926,122,260,0.32,2.423076923,718.0061538,2.48
AUDUSD,5,0.0002,56,23,921,145,313,0.32,2.434782609,717.5791304,2.28
AUDUSD,5,0.0002,57,27,945,135,250,0.35,2.111111111,698.25,2.4
AUDUSD,5,0.0002,62,36,1006,119,177,0.4,1.722222222,693.0222222,3.2
AUDUSD,5,0.0002,54,36,1062,149,194,0.43,1.5,684.99,2.7
AUDUSD,5,0.0002,56,32,976,138,211,0.4,1.75,683.2,3.2
AUDUSD,5,0.0002,56,24,880,143,297,0.33,2.333333333,677.6,2.4
AUDUSD,5,0.0002,57,22,870,138,318,0.3,2.590909091,676.2272727,1.7
AUDUSD,5,0.0002,62,23,850,125,300,0.29,2.695652174,664.4782609,1.65
AUDUSD,5,0.0002,62,26,860,125,265,0.32,2.384615385,656.2461538,2.16
AUDUSD,5,0.0002,59,24,854,130,284,0.31,2.458333333,650.8191667,1.73
AUDUSD,5,0.0002,61,26,866,128,267,0.32,2.346153846,650.1661538,1.84
AUDUSD,5,0.0002,56,33,943,140,209,0.4,1.696969697,640.0969697,2.6
AUDUSD,5,0.0002,58,22,756,131,311,0.3,2.636363636,597.9272727,2
AUDUSD,5,0.0002,58,23,756,132,300,0.31,2.52173913,590.9947826,2.11
AUDUSD,5,0.0002,45,45,1080,172,148,0.54,1,583.2,3.6
AUDUSD,5,0.0002,55,32,843,141,216,0.39,1.71875,565.0734375,1.93
AUDUSD,5,0.0002,61,24,737,125,287,0.3,2.541666667,561.9625,1.5
AUDUSD,5,0.0002,63,56,959,97,92,0.51,1.125,550.22625,4.69
AUDUSD,5,0.0002,56,36,836,139,193,0.42,1.555555556,546.1866667,2.64
AUDUSD,5,0.0002,47,26,784,176,288,0.38,1.807692308,538.5476923,1.74
AUDUSD,5,0.0002,55,33,803,143,214,0.4,1.666666667,535.3333333,2.2
AUDUSD,5,0.0002,57,34,792,132,198,0.4,1.676470588,531.1058824,2.4
AUDUSD,5,0.0002,63,55,894,98,96,0.51,1.145454545,522.2585455,5.18
AUDUSD,5,0.0002,61,22,656,124,314,0.28,2.772727273,509.2945455,1.24
AUDUSD,5,0.0002,58,24,676,130,286,0.31,2.416666667,506.4366667,1.42
AUDUSD,5,0.0002,62,55,872,101,98,0.51,1.127272727,501.3207273,4.67
AUDUSD,5,0.0002,55,35,760,143,203,0.41,1.571428571,489.6571429,1.9
AUDUSD,5,0.0002,58,26,662,132,269,0.33,2.230769231,487.3338462,1.72
AUDUSD,5,0.0002,62,56,818,99,95,0.51,1.107142857,461.8778571,4.18
AUDUSD,5,0.0002,58,25,582,129,276,0.32,2.32,432.0768,1.56
AUDUSD,5,0.0002,55,22,572,144,334,0.3,2.5,429,1.1
AUDUSD,5,0.0002,62,22,528,121,317,0.28,2.818181818,416.64,1.52
AUDUSD,5,0.0002,60,31,591,123,219,0.36,1.935483871,411.7935484,1.76
AUDUSD,5,0.0002,66,63,693,84,77,0.52,1.047619048,377.52,4.08
AUDUSD,5,0.0002,63,22,482,118,316,0.27,2.863636364,372.6736364,0.95
AUDUSD,5,0.0002,55,23,436,143,323,0.31,2.391304348,323.2086957,1.18
AUDUSD,5,0.0002,47,27,477,171,280,0.38,1.740740741,315.5266667,1.12
AUDUSD,5,0.0002,59,27,436,125,257,0.33,2.185185185,314.4044444,1.38
AUDUSD,5,0.0002,64,63,592,88,80,0.52,1.015873016,312.7263492,3.04
AUDUSD,5,0.0002,65,63,546,84,78,0.52,1.031746032,292.9333333,3.56
AUDUSD,5,0.0002,52,29,440,149,252,0.37,1.793103448,291.9172414,0.97
AUDUSD,5,0.0002,48,26,398,167,293,0.36,1.846153846,264.5169231,0.64
AUDUSD,5,0.0002,51,38,442,148,187,0.44,1.342105263,261.0126316,1.16
AUDUSD,5,0.0002,66,64,484,82,77,0.52,1.03125,259.545,3.6
AUDUSD,5,0.0002,62,62,496,94,86,0.52,1,257.92,2.48
AUDUSD,5,0.0002,57,32,384,128,216,0.37,1.78125,253.08,0.93
AUDUSD,5,0.0002,57,56,441,105,99,0.51,1.017857143,228.92625,1.63
AUDUSD,5,0.0002,61,27,314,122,264,0.32,2.259259259,227.0103704,1.16
AUDUSD,5,0.0002,58,27,315,126,259,0.33,2.148148148,223.3,1.05
AUDUSD,5,0.0002,57,33,324,129,213,0.38,1.727272727,212.6618182,1.2
AUDUSD,5,0.0002,23,22,275,451,459,0.5,1.045454545,143.75,0.5
AUDUSD,5,0.0002,24,22,218,428,457,0.48,1.090909091,114.1527273,0.08
AUDUSD,5,0.0002,53,29,155,143,256,0.36,1.827586207,101.9793103,0.52
AUDUSD,5,0.0002,23,21,169,452,487,0.48,1.095238095,88.84571429,0.12
AUDUSD,5,0.0002,48,27,129,163,285,0.36,1.777777778,82.56,0
AUDUSD,5,0.0003,73,30,1703,101,189,0.35,2.433333333,1450.388333,6.05
AUDUSD,5,0.0003,59,34,1920,138,183,0.43,1.735294118,1432.658824,5.99
AUDUSD,5,0.0003,51,33,1971,170,203,0.46,1.545454545,1401.201818,5.64
AUDUSD,5,0.0003,73,33,1662,96,162,0.37,2.212121212,1360.321818,6.22
AUDUSD,5,0.0003,73,31,1501,97,180,0.35,2.35483871,1237.114516,5.4
AUDUSD,5,0.0003,74,30,1446,99,196,0.34,2.466666667,1212.712,5.36
AUDUSD,5,0.0003,63,35,1596,127,183,0.41,1.8,1177.848,5.18
AUDUSD,5,0.0003,77,43,1566,84,114,0.42,1.790697674,1177.777674,7.4
AUDUSD,5,0.0003,50,33,1702,170,206,0.45,1.515151515,1160.454545,4.35
AUDUSD,5,0.0003,61,34,1538,130,188,0.41,1.794117647,1131.334706,4.95
AUDUSD,5,0.0003,64,30,1460,125,218,0.36,2.133333333,1121.28,3.84
AUDUSD,5,0.0003,57,35,1457,141,188,0.43,1.628571429,1020.316286,4.56
AUDUSD,5,0.0003,63,30,1338,126,220,0.36,2.1,1011.528,3.48
AUDUSD,5,0.0003,75,44,1338,90,123,0.42,1.704545455,957.8863636,5.98
AUDUSD,5,0.0003,67,26,1179,115,251,0.31,2.576923077,941.8396154,2.83
AUDUSD,5,0.0003,77,30,1140,90,193,0.32,2.566666667,936.32,4.24
AUDUSD,5,0.0003,66,35,1251,116,183,0.39,1.885714286,920.0211429,4.39
AUDUSD,5,0.0003,72,30,1158,99,199,0.33,2.4,917.136,3.66
AUDUSD,5,0.0003,67,30,1158,114,216,0.35,2.233333333,905.17,3.95
AUDUSD,5,0.0003,67,35,1239,112,179,0.38,1.914285714,901.284,3.76
AUDUSD,5,0.0003,63,58,1521,107,90,0.54,1.086206897,892.1451724,7.34
AUDUSD,5,0.0003,66,30,1152,117,219,0.35,2.2,887.04,3.6
AUDUSD,5,0.0003,68,14,924,112,478,0.19,4.857142857,852.72,1.58
AUDUSD,5,0.0003,77,14,861,91,439,0.17,5.5,805.035,1.47
AUDUSD,5,0.0003,69,14,844,108,472,0.19,4.928571429,790.3457143,1.77
AUDUSD,5,0.0003,72,63,1296,81,72,0.53,1.142857143,785.0057143,8.55
AUDUSD,5,0.0003,45,33,1242,186,216,0.46,1.363636364,779.0727273,2.88
AUDUSD,5,0.0003,65,30,985,119,225,0.35,2.166666667,746.9583333,3.25
AUDUSD,5,0.0003,62,58,1294,106,91,0.54,1.068965517,746.9503448,6.8
AUDUSD,5,0.0003,74,44,1056,88,124,0.42,1.681818182,745.92,5.56
AUDUSD,5,0.0003,72,35,989,92,161,0.36,2.057142857,732.4251429,3.52
AUDUSD,5,0.0003,70,26,902,105,248,0.3,2.692307692,728.5384615,2.8
AUDUSD,5,0.0003,79,64,1148,68,66,0.51,1.234375,722.701875,8.93
AUDUSD,5,0.0003,71,30,898,98,202,0.33,2.366666667,701.338,3.33
AUDUSD,5,0.0003,63,57,1212,107,97,0.52,1.105263158,696.5810526,5.4
AUDUSD,5,0.0003,67,14,731,111,479,0.19,4.785714286,664.6878571,1.39
AUDUSD,5,0.0003,78,14,676,88,442,0.17,5.571428571,640.2685714,1.64
AUDUSD,5,0.0003,43,43,1161,188,161,0.54,1,626.94,3.44
AUDUSD,5,0.0003,57,52,1083,123,114,0.52,1.096153846,617.31,4.68
AUDUSD,5,0.0003,67,20,710,110,333,0.25,3.35,594.625,1.75
AUDUSD,5,0.0003,73,64,995,75,70,0.52,1.140625,590.159375,7.24
AUDUSD,5,0.0003,63,59,1002,103,93,0.53,1.06779661,567.0640678,5.66
AUDUSD,5,0.0003,42,27,849,215,303,0.42,1.555555556,554.68,1.98
AUDUSD,5,0.0003,66,14,616,112,484,0.19,4.714285714,551.76,1.2
AUDUSD,5,0.0003,72,64,936,77,72,0.52,1.125,547.56,6.72
AUDUSD,5,0.0003,76,14,588,91,452,0.17,5.428571429,542.64,1.3
AUDUSD,5,0.0003,80,14,588,84,438,0.16,5.714285714,537.6,1.04
AUDUSD,5,0.0003,63,60,966,102,91,0.53,1.05,537.579,5.19
AUDUSD,5,0.0003,66,20,646,111,334,0.25,3.3,532.95,1.5
AUDUSD,5,0.0003,73,63,886,76,74,0.51,1.158730159,523.5838095,6.36
AUDUSD,5,0.0003,79,65,845,65,66,0.5,1.215384615,513.5,7
AUDUSD,5,0.0003,57,53,912,122,114,0.52,1.075471698,510.0316981,4.2
AUDUSD,5,0.0003,63,14,588,122,507,0.19,4.5,502.74,0.63
AUDUSD,5,0.0003,74,64,848,72,70,0.51,1.15625,500.055,6.38
AUDUSD,5,0.0003,65,14,564,114,489,0.19,4.642857143,497.5285714,1.01
AUDUSD,5,0.0003,42,33,825,209,241,0.46,1.272727273,483,1.5
AUDUSD,5,0.0003,41,27,757,218,303,0.42,1.518518519,482.7977778,1.56
AUDUSD,5,0.0003,74,63,740,73,74,0.5,1.174603175,434.6031746,5.5
AUDUSD,5,0.0003,59,14,505,131,516,0.2,4.214285714,425.6428571,0.6
AUDUSD,5,0.0003,43,31,690,197,251,0.44,1.387096774,421.1225806,1.56
AUDUSD,5,0.0003,43,32,694,194,239,0.45,1.34375,419.653125,1.75
AUDUSD,5,0.0003,56,53,746,125,118,0.51,1.056603774,401.9954717,2.59
AUDUSD,5,0.0003,42,32,664,204,247,0.45,1.3125,392.175,1.3
AUDUSD,5,0.0003,62,59,716,101,94,0.52,1.050847458,391.2515254,3.92
AUDUSD,5,0.0003,79,66,660,66,69,0.49,1.196969697,387.1,5.05
AUDUSD,5,0.0003,64,14,440,118,508,0.19,4.571428571,382.1714286,0.82
AUDUSD,5,0.0003,57,54,681,119,113,0.51,1.055555556,366.605,2.61
AUDUSD,5,0.0003,68,20,444,103,328,0.24,3.4,362.304,1.12
AUDUSD,5,0.0003,43,33,607,196,237,0.45,1.303030303,355.9227273,1.2
AUDUSD,5,0.0003,74,68,636,72,69,0.51,1.088235294,352.98,4.42
AUDUSD,5,0.0003,75,14,380,90,455,0.17,5.357142857,346.0714286,1.13
AUDUSD,5,0.0003,79,14,378,84,447,0.16,5.642857143,341.28,0.88
AUDUSD,5,0.0003,73,65,584,73,73,0.5,1.123076923,327.9384615,4
AUDUSD,5,0.0003,42,34,570,203,234,0.46,1.235294118,323.8941176,0.96
AUDUSD,5,0.0003,74,65,565,70,71,0.5,1.138461538,321.6153846,4.5
AUDUSD,5,0.0003,74,67,557,70,69,0.5,1.104477612,307.5970149,3.5
AUDUSD,5,0.0003,72,65,525,75,75,0.5,1.107692308,290.7692308,3.5
AUDUSD,5,0.0003,38,27,473,232,309,0.43,1.407407407,286.2525926,0.95
AUDUSD,5,0.0003,69,20,351,99,324,0.23,3.45,278.5185,0.47
AUDUSD,5,0.0003,43,27,376,199,303,0.4,1.592592593,239.5259259,1
AUDUSD,5,0.0003,58,14,278,132,527,0.2,4.142857143,230.3428571,0.4
AUDUSD,5,0.0003,52,52,416,131,123,0.52,1,216.32,2.08
AUDUSD,5,0.0003,39,26,338,218,314,0.41,1.5,207.87,0.65
AUDUSD,5,0.0003,43,30,345,195,268,0.42,1.433333333,207.69,0.66
AUDUSD,5,0.0003,39,31,349,218,263,0.45,1.258064516,197.5790323,0.5
AUDUSD,5,0.0003,74,66,354,69,72,0.49,1.121212121,194.4854545,2.6
AUDUSD,5,0.0003,41,26,286,208,317,0.4,1.576923077,180.4,0.8
AUDUSD,5,0.0003,28,23,307,365,431,0.46,1.217391304,171.92,0.46
AUDUSD,5,0.0003,38,31,273,225,267,0.46,1.225806452,153.9367742,0.74
AUDUSD,5,0.0003,29,23,253,345,424,0.45,1.260869565,143.55,0.4
AUDUSD,5,0.0003,73,66,233,71,75,0.49,1.106060606,126.2789394,2.11
AUDUSD,5,0.0003,80,15,140,79,412,0.16,5.333333333,119.4666667,0.2
AUDUSD,5,0.0003,42,26,180,203,321,0.39,1.615384615,113.4,0.52
AUDUSD,5,0.0003,38,36,188,220,227,0.49,1.055555556,97.23777778,0.26
AUDUSD,5,0.0003,72,66,174,73,77,0.49,1.090909091,93.01090909,1.62
AUDUSD,5,0.0003,30,23,136,325,418,0.44,1.304347826,78.05217391,0.32
AUDUSD,5,0.0003,54,53,126,126,126,0.5,1.018867925,64.18867925,0.5
AUDUSD,5,0.0003,77,15,59,82,417,0.16,5.133333333,48.45866667,-0.28
AUDUSD,5,0.0004,76,43,880,84,128,0.4,1.76744186,622.1395349,4.6
AUDUSD,5,0.0004,75,43,678,83,129,0.39,1.744186047,461.1976744,3.02
AUDUSD,5,0.0004,74,43,485,85,135,0.39,1.720930233,325.5139535,2.63
AUDUSD,5,0.0004,73,43,245,87,142,0.38,1.697674419,158.0534884,1.08
AUDUSD,5,0.0004,63,56,182,98,107,0.48,1.125,98.28,1.12
AUDUSD,5,0.0004,75,75,75,63,62,0.5,1,37.5,0
AUDUSD,5,0.0004,77,75,53,64,65,0.5,1.026666667,27.20666667,1
AUDUSD,5,0.0005,72,66,738,79,75,0.51,1.090909091,410.5963636,4.38
AUDUSD,5,0.0005,73,65,608,76,76,0.5,1.123076923,341.4153846,4
AUDUSD,5,0.0005,73,66,598,76,75,0.5,1.106060606,330.7121212,3.5
AUDUSD,5,0.0005,72,65,560,80,80,0.5,1.107692308,310.1538462,3.5
AUDUSD,5,0.0005,76,64,532,71,76,0.48,1.1875,303.24,3.2
AUDUSD,5,0.0005,74,65,536,74,76,0.49,1.138461538,299.0055385,3.11
AUDUSD,5,0.0005,76,65,445,70,75,0.48,1.169230769,249.7476923,2.68
AUDUSD,5,0.0005,74,66,386,73,76,0.49,1.121212121,212.0660606,2.6
AUDUSD,5,0.0006,72,66,876,80,74,0.52,1.090909091,496.9309091,5.76
AUDUSD,5,0.0006,76,64,672,72,75,0.49,1.1875,391.02,4.6
AUDUSD,5,0.0006,76,65,586,71,74,0.49,1.169230769,335.7329231,4.09
AUDUSD,5,0.0006,73,66,268,76,80,0.49,1.106060606,145.2478788,2.11
